,Background,Corn,Cotton,Rice,Sorghum,Soybeans,Sunflower,Tobacco,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Watermelons,Cucumbers,Peas,Tomatoes,Herbs,Clover/Wildflowers,Sod/Grass Seed,Switchgrass,Fallow/Idle Cropland,Peaches,Christmas Trees,Walnuts,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grass/Pasture,Woody Wetlands,Herbaceous Wetlands,Cantaloupes,Squash,Dbl Crop WinWht/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Dbl Crop Soybeans/Oats,Dbl Crop Corn/Soybeans,Cabbage
Spring Wheat,,0.33663366336633666,,,,0.1188118811881188,,,,,,,0.009900990099009901,,,,,0.039603960396039604,,,,,,,,,,,,,,,,0.009900990099009901,,,,,,0.019801980198019802,,,,0.12871287128712872,,,,,0.33663366336633666,,,,,,,,,,
Winter Wheat,,0.5214376400029194,,8.020217363930997e-07,5.132939112915838e-05,0.2588878043772742,8.020217363930997e-06,8.020217363930997e-07,0.00047239080273553575,0.004638893723297689,,0.00020852565146220592,0.021605663556693713,0.006812372628922989,0.00015799828206944065,0.00017163265158812334,8.020217363930997e-07,0.007610384256634123,0.00247102896982714,,8.020217363930997e-07,0.00013554167345043386,0.0002606570643277574,0.00010586686920388917,,8.020217363930997e-06,8.020217363930997e-07,3.208086945572399e-05,1.2030326045896496e-05,0.00045073621585292205,0.0024581966220448507,0.0005445727590109147,9.624260836717196e-06,0.015118109731009929,,8.020217363930997e-07,3.208086945572399e-06,,0.002353933796313748,0.0012126568654263667,0.00018366297763401984,0.00012671943435010974,7.378599974816518e-05,0.004752780809865509,0.0022159860576541346,4.812130418358598e-06,1.6040434727861994e-06,6.416173891144798e-06,0.14466868081058734,0.00010506484746749606,0.00044111195501620484,1.6040434727861994e-06,1.6040434727861994e-06,1.6040434727861994e-05,0.00011549113004060636,3.528895640129639e-05,,,5.614152154751698e-06
Dbl Crop WinWht/Soybeans,,0.5931973310369268,,,0.001692264691617739,0.30916722465978386,8.707304819231999e-07,6.5304786144239986e-06,1.7414609638463997e-06,0.0010344278125247613,,,0.0014467186957153966,0.009187512680012644,,1.7414609638463997e-06,,0.0003051910339140815,0.0003509043842150495,3.0475566867311996e-06,,6.095113373462399e-06,1.8285340120387196e-05,,,7.314136048154878e-05,8.707304819231999e-07,3.4829219276927994e-06,0.00010666448403559198,6.312795993943199e-05,0.00011275959740905438,9.578035301155198e-06,,0.02945985976014858,,,,,0.00028385813710696316,0.0029539531599244552,0.00017849974879425597,1.6979244397502396e-05,2.6121914457695997e-06,9.012060487905118e-05,0.002197288371133195,8.707304819231999e-07,,4.3536524096159993e-07,0.04761502567348826,1.0013400542116798e-05,3.3523123554043194e-05,1.1754861505963198e-05,1.7414609638463997e-06,3.9618236927505595e-05,0.00023901551728791837,6.791697759000959e-05,7.401209096347198e-06,,
Rye,,0.12614678899082568,,,,0.1632262996941896,,,,0.005351681957186544,,,0.1158256880733945,0.008027522935779817,0.08027522935779817,,,0.014143730886850153,0.0007645259938837921,,,0.0022935779816513763,,,,,,,,,,,,0.0015290519877675841,,,,,0.00191131498470948,0.0011467889908256881,0.00038226299694189603,0.00038226299694189603,,0.0061162079510703364,0.00038226299694189603,,,,0.4720948012232416,,,,,,,,,,
Oats,,0.42517054155645273,,,,0.13142141166643465,,,,,,,0.007378532646526521,,,,,0.14186273144925518,0.008353055826256438,,,,0.00027843519420854795,0.00013921759710427398,,,,0.00013921759710427398,,0.0005568703884170959,0.00013921759710427398,0.0011137407768341918,,0.0032020047333983013,,,,,0.0027843519420854795,0.008213838229152165,0.00027843519420854795,,0.0006960879855213699,0.011415842962550467,0.013225671724906029,,,,0.24223861896143672,0.0005568703884170959,0.0008353055826256439,,,,,,,,
Millet,,0.23684210526315788,,,,0.12938596491228072,,,0.0043859649122807015,0.40131578947368424,,,0.021929824561403508,0.013157894736842105,,,,,0.006578947368421052,,,0.0021929824561403508,,,,,,,,0.0021929824561403508,,,,0.017543859649122806,,,,,0.0021929824561403508,,,,,0.0021929824561403508,,,,,0.1600877192982456,,,,,,,,,,
Speltz,,0.07224334600760456,,,,0.019011406844106463,,,,,,,0.0076045627376425855,,,,,0.060836501901140684,,,,,,,,,,,,,0.41825095057034223,,,,,,,,,,,,,,,,,,0.4220532319391635,,,,,,,,,,
Alfalfa,,0.1415410565054052,,,0.00030974469063865676,0.05368090163305988,,,0.00011960438549413478,0.002125277926857318,,1.22671164609369e-05,0.012371386950854865,0.004066549106800582,9.200337345702676e-06,9.200337345702676e-05,,0.24764854711339415,0.01171509622019474,,,5.213524495898183e-05,0.00011653760637890055,9.81369316874952e-05,,,,2.7601012037108027e-05,,9.200337345702676e-06,0.0011807099593651768,0.0002545426665644407,,0.0020915433565897416,,,,,0.0003864141685195124,0.0020455416698612282,9.81369316874952e-05,9.200337345702676e-05,6.13355823046845e-05,0.0010396381200644023,0.00375987119527716,,,2.7601012037108027e-05,0.5142099210304378,0.00011960438549413478,0.00034347926090623325,,,0.00019014030514452197,9.507015257226099e-05,6.13355823046845e-06,,,3.066779115234225e-06
Other Hay/Non Alfalfa,,0.07111878658112511,,,6.251514038556212e-05,0.08165258773609234,,,0.00010158710312653845,0.0009142839281388462,,,0.01013526713500926,0.01780900061733701,,0.00010158710312653845,7.814392548195265e-06,0.02602974157803843,0.06374981440817698,,,2.3443177644585798e-05,0.00044542037524713016,,,1.562878509639053e-05,,,7.814392548195265e-06,1.562878509639053e-05,0.002313060194265799,0.0006564089740484023,,0.015628785096390534,,,,,0.003758722815681923,0.007830021333291656,0.000765810469723136,0.00037509084231337277,0.0007267385069821597,0.0015394353319944673,0.00543100282099571,,,1.562878509639053e-05,0.687447741249834,0.00015628785096390531,0.0009142839281388462,,,0.00015628785096390531,8.595831803014793e-05,7.814392548195265e-06,,,
Buckwheat,,0.006896551724137931,,,,,,,,,,,,,,,,0.006896551724137931,,,,,,,,,,,,,,,,0.07586206896551724,,,,,0.43448275862068964,,,,,,,,,,0.041379310344827586,0.0896551724137931,0.3448275862068966,,,,,,,,
Dry Beans,,0.4828852377396067,,,6.223549912870301e-05,0.12023898431665422,0.00018670649738610905,,0.05028628329599203,0.2502489419965148,,,0.01194921583271098,0.012447099825740602,,,,0.0006845904904157331,,,,0.00784167289021658,0.004729897933781429,0.0003734129947722181,,0.0021782424695046053,,0.00018670649738610905,0.0008090614886731392,,6.223549912870301e-05,,,0.022964899178491413,,,,,0.0012447099825740602,0.00012447099825740602,6.223549912870301e-05,,6.223549912870301e-05,0.0028005974607916355,,,,,0.025267612646253424,,0.00024894199651481205,0.0006845904904157331,,,0.0013069454817027633,,,,6.223549912870301e-05
Potatoes,,0.6893419245801204,,,,0.039505651209464455,,,0.01552762226682159,0.00021126016689553185,,,0.002429491919298616,0.005492764339283828,,,,0.0031689025034329775,0.00010563008344776593,,,0.12738988063800571,0.009929227844089996,0.00010563008344776593,,0.0023238618358508503,,0.0010563008344776593,,0.0004225203337910637,,0.004013943171015105,,0.0020069715855075524,,,,,0.0004225203337910637,,,,,0.0005281504172388297,,,,,0.06390620048589839,,0.00010563008344776593,,,,0.029365163198478927,,,,0.0026407520861941483
Other Crops,,0.08674698795180723,,,,0.08273092369477912,,,0.0008032128514056225,,,,0.0321285140562249,0.001606425702811245,,,,0.00642570281124498,,,,,,0.00642570281124498,,,,,,,,,,0.036947791164658635,,,,,0.0024096385542168677,,,0.0008032128514056225,,0.004819277108433735,,,,,0.7373493975903614,,0.0008032128514056225,,,,,,,,
Misc Vegs & Fruits,,0.07623318385650224,,,,0.15695067264573992,,,0.017937219730941704,,,,0.28699551569506726,,,,,,,,,,0.017937219730941704,,,,,0.002242152466367713,,0.002242152466367713,,,,0.011210762331838564,,,,,0.026905829596412557,0.006726457399103139,0.002242152466367713,,0.002242152466367713,0.15695067264573992,,,,,0.23318385650224216,,,,,,,,,,
Onions,,0.35240963855421686,,,,0.16265060240963855,,,0.012048192771084338,,,,0.02108433734939759,,,,,,0.0030120481927710845,,,,0.02108433734939759,,,,,,,0.25,,0.006024096385542169,,,,,,,0.03313253012048193,,,,,,,,,,0.13855421686746988,,,,,,,,,,
Cucumbers,,0.12826747720364742,,,,0.08632218844984803,,,,,,,0.0006079027355623101,0.3702127659574468,,,,,,,,,,,,0.02188449848024316,,,0.25227963525835867,,,,,0.08753799392097264,,,,,0.00303951367781155,,,,,0.0006079027355623101,,,,,0.049240121580547115,,,,,,,,,,
Peas,,0.6805555555555556,,,,0.07175925925925926,,,0.0023148148148148147,,,,0.011574074074074073,,,,,0.018518518518518517,,,,,,,,,,,,,,,,0.0023148148148148147,,,,,,0.04861111111111111,0.004629629629629629,0.0023148148148148147,0.0023148148148148147,0.05555555555555555,,,,,0.09953703703703703,,,,,,,,,,
Tomatoes,,0.012987012987012988,,,,0.5844155844155844,,,,,,,,,,,,,0.012987012987012988,,,,,,,,,,,,,,,,,,,,0.012987012987012988,0.012987012987012988,,,,,,,,,0.36363636363636365,,,,,,,,,,
Herbs,,0.2438347718865598,,,0.00030826140567200987,0.2900739827373613,,,0.0012330456226880395,,,,0.013871763255240444,0.0036991368680641184,,,,0.002157829839704069,0.005856966707768188,,,,0.039149198520345256,,,0.00030826140567200987,,,,0.15197287299630086,,0.020036991368680642,,0.04315659679408138,,,,,0.007090012330456227,,0.00030826140567200987,,,0.005548705302096177,,,,,0.16923551171393342,,0.0009247842170160296,,,,0.0006165228113440197,,,,0.0006165228113440197
Clover/Wildflowers,,0.311178247734139,,,0.00018882175226586103,0.1782477341389728,,,0.0005664652567975831,0.0032099697885196376,,,0.04135196374622357,0.06098942598187311,,,,0.0222809667673716,0.013406344410876132,,,,,,,,,,,0.00018882175226586103,0.008685800604229608,,,0.006419939577039275,,,,,0.0016993957703927492,0.0026435045317220545,,,0.00018882175226586103,0.006608761329305136,0.008874622356495469,0.00018882175226586103,,,0.3311933534743202,,0.0015105740181268882,,,0.00018882175226586103,0.00018882175226586103,,,,
Sod/Grass Seed,,0.07239523260284506,,,,0.12618223760092273,,,0.0004998077662437524,,,,0.017377931564782775,0.0008073817762399078,,,,0.007420222991157247,0.002499038831218762,,,,0.0019992310649750095,3.844675124951942e-05,,,,,,0.0008073817762399078,3.844675124951942e-05,0.21926182237600922,,0.0031910803537101113,,,,,0.000461361014994233,0.00130718954248366,0.00011534025374855825,0.00011534025374855825,,0.002499038831218762,0.0007304882737408689,,,0.00011534025374855825,0.5414840445982314,7.689350249903884e-05,0.0005767012687427913,,,,,,,,
Switchgrass,,0.29739776951672864,,,,0.03345724907063197,,,,,,,,,,,,0.007434944237918215,,,,,,,,,,,,,,,,,,,,,0.011152416356877323,,,,,,,,,,0.6505576208178439,,,,,,,,,,
Fallow/Idle Cropland,,0.23995477555274325,,0.0012066056229683118,0.0001380307203652696,0.40337384302340007,1.5509069703962877e-06,1.5509069703962877e-06,0.00018765974341795083,5.273083699347378e-05,,,0.02525496910593315,0.03788245365889972,6.203627881585151e-06,1.0856348792774015e-05,,0.0012841509714881262,0.0017711357601925607,1.5509069703962877e-06,1.5509069703962877e-06,4.187448820069977e-05,0.00016284523189161022,0.00012252165066130674,,5.273083699347378e-05,7.59944415494181e-05,2.171269758554803e-05,0.000894873321918658,4.0323581230303484e-05,0.00021867788282587658,0.00010080895307575871,,0.1392481823370307,,,4.6527209111888635e-06,7.754534851981439e-06,0.032823395121467036,0.0006420754857440631,0.0002915705104345021,0.0001380307203652696,0.00012252165066130674,0.002393049455321472,0.002808692523387677,1.2407255763170301e-05,,,0.09542730588848358,0.0004683739050596789,0.012587160971736271,2.791632546713318e-05,4.6527209111888635e-06,3.5670860319114616e-05,3.5670860319114616e-05,5.8934464875058934e-05,,,
Peaches,,,,,,0.04878048780487805,,,,,,,,0.07317073170731707,,,,,,,,,,,,,,,,,,,,,,,,,,0.17073170731707318,,,,,0.04878048780487805,,,,0.6585365853658537,,,,,,,,,,
Apples,,,,,,,,,,,,,0.014084507042253521,,,,,,0.056338028169014086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9295774647887324,,,,,,,,,,
Grapes,,0.09230769230769231,,,,0.1076923076923077,,,,,,,,0.07692307692307693,,,,0.015384615384615385,,,,,,,,,,,,,,,,0.03076923076923077,,,,,,0.015384615384615385,,,,,,,,,0.6615384615384615,,,,,,,,,,
Christmas Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,0.08333333333333333,,,,0.8333333333333334,,,,,,,,,,
Aquaculture,,0.06417112299465241,,,,0.22459893048128343,,,,,,,,,,,,,0.0017825311942959,,,,,,,,,,,,,,,0.49732620320855614,,,,0.0142602495543672,0.09269162210338681,0.0017825311942959,,,,,,,,,0.10160427807486631,,0.0017825311942959,,,,,,,,
Open Water,,0.01919666470722,,0.00012735812074756025,4.257095958135719e-06,0.018507015162002014,,,3.5475799651130986e-06,3.902337961624409e-06,,,0.000291965831128808,0.000226690359770727,,4.6118539546470284e-06,1.0642739895339297e-06,3.370200966857444e-05,6.704926134063757e-05,,,3.5475799651130987e-07,2.1285479790678593e-06,3.5475799651130987e-07,,1.0642739895339297e-06,,1.7028383832542875e-05,3.5475799651130987e-07,3.5475799651130986e-06,3.5475799651130987e-07,2.483305975579169e-06,,0.0065726014013650375,,,,1.0642739895339297e-06,0.894167884964753,1.4899835853475014e-05,2.554257574881431e-05,1.0287981898827985e-05,8.514191916271437e-06,0.0010539860076351016,0.006690026298210281,6.740401933714887e-06,6.669450334412625e-05,2.554257574881431e-05,0.029609166662823455,0.005424249766657928,0.01782375126072123,,,1.0642739895339297e-06,2.1285479790678593e-06,,3.5475799651130987e-07,,
Developed/Open Space,,0.021341121403952217,,,3.3448017150084857e-06,0.015363188861913206,1.0291697584641493e-06,,1.4279730398690072e-05,6.303664770592915e-06,,1.2864621980801866e-07,0.00021200897024361477,0.001130285687233252,,6.689603430016971e-06,,0.00011693941380548898,4.772774754877493e-05,,,1.2864621980801866e-07,1.2864621980801866e-07,7.71877318848112e-07,,,,9.005235386561307e-07,,1.2864621980801866e-07,6.432310990400933e-07,8.876589166753288e-06,,9.609872619658995e-05,,,,2.0583395169282986e-06,5.7890798913608405e-06,0.9288536232435931,0.02857940096145039,0.0018312789389671458,0.00023452205871001805,4.06522054593339e-05,0.0006261211518056269,,4.759910132896691e-06,6.175018550784896e-06,0.0014516439443136827,9.777112705409419e-06,1.157815978272168e-06,,,2.1869857367363176e-06,1.2864621980801866e-07,,,,
Developed/Low Intensity,,0.0005737735590175999,,,3.9389489177409605e-07,0.000595043883173401,,,1.050386378064256e-06,7.877897835481921e-07,,,1.5230602481931713e-05,1.2867233131287137e-05,,1.31298297258032e-07,,3.1511591341927684e-06,1.3786321212093362e-05,,,2.62596594516064e-07,2.62596594516064e-07,1.31298297258032e-07,,,,,,,,3.9389489177409605e-07,,1.6543585454512033e-05,,,,,9.978670591610433e-06,0.02604564322707581,0.9556081769953566,0.015489916619016325,0.0012108328973135711,8.389961194788245e-05,9.322179105320273e-06,,3.9389489177409605e-07,,0.00030658152409750476,1.050386378064256e-06,2.62596594516064e-07,,,,1.31298297258032e-07,,,,
Developed/Med Intensity,,0.00026687116198960393,,,,0.0005071346337213158,3.9712970534167255e-07,,2.7799079373917076e-06,1.1913891160250176e-06,,,1.0722502044225159e-05,3.5741673480750528e-06,7.942594106833451e-07,2.7799079373917076e-06,,8.736853517516796e-06,1.111963174956683e-05,,,1.1913891160250176e-06,3.9712970534167255e-07,,,,,,,,,,,7.38661251935511e-05,,,7.942594106833451e-07,,2.382778232050035e-05,0.0041917040398813535,0.05110582752100915,0.9313815467328338,0.011396431154189977,0.00041857470943012284,6.354075285466761e-06,,,,0.0005798093697988419,1.5885188213666902e-06,1.985648526708363e-06,,,,,,,,
Developed/High Intensity,,0.0002463324687747936,,,,0.0005265356520061214,,,1.02638528656164e-06,,,,1.4369394011862961e-05,3.181794388341084e-05,1.02638528656164e-06,4.10554114624656e-06,,4.10554114624656e-06,4.9266493754958725e-05,,,3.0791558596849203e-06,,2.05277057312328e-06,,1.02638528656164e-06,,,,,,,,9.340106107710925e-05,,,,,4.8240108468397085e-05,0.002350422306226156,0.003882815539062684,0.03490428444010169,0.9549960843401317,0.0019142085594374587,1.334300872530132e-05,,,,0.0008857705023026953,3.0791558596849203e-06,2.258047630435608e-05,,,,1.02638528656164e-06,,,,
Barren,,0.05324862581144811,,,4.407477600569194e-05,0.12075858985902369,,6.296396572241706e-06,0.00025815225946190996,5.037117257793365e-05,,,0.01029460839561519,0.000686307226374346,0.00013852072458931752,0.00015111351773380096,,0.000982237865269706,0.0004533405532014028,,2.5185586288966825e-05,0.00017000270745052607,0.00030852343203984357,0.0006296396572241706,6.296396572241706e-06,1.888918971672512e-05,5.666756915017535e-05,0.0007177892092355545,3.148198286120853e-05,0.00015740991430604264,,0.0005414901052127868,,0.04654925985858293,,6.296396572241706e-06,0.00023926306974518484,,0.024549650235170414,0.003513389287310872,0.002335963128301673,0.007360487592950555,0.009350148909778934,0.4836765918864634,0.007669011024990398,0.0001888918971672512,6.296396572241706e-06,6.296396572241706e-06,0.22364170984945317,0.00026444865603415167,0.0007996423646746966,1.2592793144483412e-05,1.2592793144483412e-05,,5.666756915017535e-05,1.2592793144483412e-05,6.296396572241706e-06,,6.296396572241706e-06
Deciduous Forest,,0.0029815290103643245,,,1.3238580931637453e-06,0.004504647805005171,2.808183833983702e-07,,8.023382382810577e-08,2.808183833983702e-06,4.011691191405288e-08,,5.447876637928382e-05,0.00021237893167299599,1.5244426527340096e-06,8.424551501951106e-07,,6.868015319685855e-05,1.5525244910738467e-05,,,8.023382382810577e-08,,1.444208828905904e-06,,,,4.011691191405288e-08,,,5.295432372654981e-06,4.0116911914052887e-07,,0.00018465814554038544,,1.2035073574215866e-07,,,0.0008746690304620951,0.0002519342068202521,4.934380165428505e-06,1.002922797851322e-06,8.023382382810577e-08,4.9022866358972626e-05,0.9642314805190471,0.00132746861523601,0.000603037419892043,0.0002447131626757226,0.002041268828922753,0.021791506551713528,0.0005419393630469405,,,2.808183833983702e-07,,4.814029429686346e-07,,,
Evergreen Forest,,8.457732481921597e-05,,,,0.0003242130784736612,,,,,,,,,,,,,,,,,,0.00015505842883522928,,,,,,,,,,4.933677281120932e-05,,,,,0.00023963575365444525,0.0005638488321281065,0.0005638488321281065,,,7.048110401601331e-06,0.21159132236647354,0.77975359806036,0.00028897252646565457,1.4096220803202662e-05,0.0006202337153409171,0.0057089694252970774,3.5240552008006655e-05,,,,,,,,
Mixed Forest,,0.0018964836033188463,,,,0.001619913077834848,,,,,,,0.0001185302252074279,,,,,3.951007506914263e-05,,,,,,,,,,,,,,,,3.951007506914263e-05,,,,,0.0035163966811536944,3.951007506914263e-05,0.0002370604504148558,,,0.00019755037534571315,0.6815092848676413,0.005887001185302252,0.04148557882259976,0.0039510075069142635,0.013393915448439353,0.2442907941525089,0.0017779533781114183,,,,,,,,
Shrubland,,0.037044001504324936,,,,0.023411056788266264,,,,,,,0.0013162843174125611,,,9.40203083866115e-05,,0.000376081233546446,0.000376081233546446,,,,9.40203083866115e-05,,,,,,,9.40203083866115e-05,,0.000376081233546446,,0.02811207220759684,,,,,0.003384731101918014,0.024727341105678827,0.000188040616773223,,9.40203083866115e-05,0.0006581421587062806,0.47508461827754794,0.000188040616773223,0.004889056036103798,0.17506581421587064,0.20054531778864235,0.01993230537796164,0.003948852952237684,,,,,,,,
Grass/Pasture,,0.10903225699186904,,5.039765306962233e-06,6.146435420759094e-05,0.09411377233811027,6.234761204489361e-07,1.0391268674148934e-07,9.523597739857498e-05,0.0003572518170172404,5.195634337074467e-08,8.832578373026594e-07,0.004473804858624712,0.00663243505664904,5.9749794876356374e-06,4.883896276849999e-05,6.754324638196807e-07,0.008601060906966556,0.0046065013595935934,7.793451505611701e-07,3.1173806022446803e-07,4.125333663637127e-05,9.06118628385787e-05,6.016544562332233e-05,2.5978171685372333e-07,1.0858875764485636e-05,1.4547776143808507e-06,1.26773477824617e-05,3.948682096176595e-06,3.413531759457925e-05,0.0003727348073417223,0.00021198188095263826,1.4547776143808507e-06,0.0072554435700076395,8.832578373026594e-07,8.832578373026594e-07,6.754324638196807e-07,1.0391268674148934e-07,0.007424561467679414,0.0005795730103006568,5.8554798978829246e-05,5.486589859950637e-05,5.647654524399946e-05,0.0014006910609319057,0.0026946637925803017,2.4419481384249994e-06,1.1482351884934573e-05,0.0001180448121383319,0.74874083801841,0.0004739457642279329,0.0021514082662957954,1.2469522408978721e-06,4.67607090336702e-07,2.634186608896755e-05,3.720074185345318e-05,2.7069254896157974e-05,2.5978171685372333e-07,3.1173806022446803e-07,2.9615115721324463e-06
